Page,Price,Type,Beds,Baths,Area,Location
2,"680,000",Apartment,6,4,230 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
2,"450,000",Apartment,4,4,900 Sq. M.,"Al Safa, North Jeddah, Jeddah"
2,"450,000",Apartment,4,3,136 Sq. M.,"Bryman, North Jeddah, Jeddah"
2,"580,000",Apartment,4,3,134 Sq. M.,"Al Manar, North Jeddah, Jeddah"
2,"670,000",Apartment,5,3,162 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
2,"590,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"680,000",Apartment,4,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"950,000",Apartment,4,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"935,000",Apartment,4,4,160 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"575,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"580,000",Apartment,3,3,100 Sq. M.,"Al Naim, North Jeddah, Jeddah"
2,"560,000",Apartment,2,2,58 Sq. M.,"Wadi Jalil, Makkah"
2,"1,000,000",Apartment,3,3,141 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
2,"3,500,000",Villa,8,8,400 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
2,"560,000",Apartment,7,4,146 Sq. M.,"Al Zuhur, Dammam"
2,"430,000",Apartment,4,3,119 Sq. M.,"Prince Abdulmajeed, South Jeddah, Jeddah"
2,"690,000",Apartment,4,5,159 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
2,"420,875",Residential Land,N/A,N/A,925 Sq. M.,"Ar Rimal, Unayzah"
2,"644,600",Land,N/A,N/A,586 Sq. M.,"Al Wurud, Taif"
2,"3,150,000",Villa,5,7,451 Sq. M.,Dhahran
2,"1,354,445",Residential Land,N/A,N/A,934 Sq. M.,"As Salamah, Makkah"
2,"937,500",Residential Land,N/A,N/A,312 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
2,"847,000",Residential Land,N/A,N/A,770 Sq. M.,"Al Kawthar, Al Khobar"
2,"2,928,975",Residential Land,N/A,N/A,"1,195 Sq. M.","Al Sawari, North Jeddah, Jeddah"
2,"353,016",Residential Land,N/A,N/A,588 Sq. M.,"Al Mulayda, Buraydah Al Qassim Region"
3,"655,000",Apartment,4,3,160 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
3,"475,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
3,"880,000",Apartment,6,5,215 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
3,"660,000",Apartment,5,5,165 Sq. M.,"Al Safa, North Jeddah, Jeddah"
3,"610,000",Apartment,6,4,178 Sq. M.,"Al Jamiyin, Dammam"
3,"650,000",Apartment,5,3,157 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
3,"730,000",Apartment,6,4,195 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
3,"549,000",Apartment,3,2,524 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
3,"830,000",Apartment,5,4,177 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
3,"620,000",Apartment,4,5,141 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
3,"10,500,000",Residential Land,N/A,N/A,"3,000 Sq. M.","Al Aziziyah, South Riyadh, Riyadh"
3,"9,000,000",Building,N/A,N/A,600 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
3,"795,000",Apartment,4,3,158 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
3,"2,100,000",Villa,5,5,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
3,"3,200,000",Villa,6,6,383 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
3,"1,400,000",Villa,6,8,373 Sq. M.,"Al Amwaj, Al Khobar"
3,"2,200,000",Villa,10,5,450 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
3,"2,500,000",Villa,4,5,643 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
3,"650,000",Apartment,5,4,202 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
3,"530,000",Apartment,6,4,239 Sq. M.,"Ar Rawdah, Abha"
3,"2,670,000",Residential Land,N/A,N/A,334 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
3,"1,377,000",Residential Land,N/A,N/A,255 Sq. M.,"Al Arid, North Riyadh, Riyadh"
3,"7,500,805",Land,N/A,N/A,902 Sq. M.,"Al Rabwah, Central Riyadh, Riyadh"
3,"2,800,000",Villa,6,8,440 Sq. M.,"Al Buhairah, Al Khobar"
3,"2,500,750",Residential Land,N/A,N/A,875 Sq. M.,"Dahiat Namar, West Riyadh, Riyadh"
4,"680,000",Apartment,5,5,175 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"640,000",Apartment,5,4,157 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"600,000",Apartment,4,4,140 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"860,000",Apartment,6,5,213 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"660,000",Apartment,5,5,167 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
4,"660,000",Apartment,5,5,167 Sq. M.,"Al Sulaymaniyah, North Jeddah, Jeddah"
4,"1,350,000",Apartment,6,5,242 Sq. M.,"Al Safa, North Jeddah, Jeddah"
4,"850,000",Apartment,4,4,158 Sq. M.,"Al Safa, North Jeddah, Jeddah"
4,"520,000",Apartment,4,3,127 Sq. M.,"Batha Quraysh, Makkah"
4,"650,000",Apartment,4,3,184 Sq. M.,"Al Mohamdya, Makkah"
4,"2,200,000",Villa,5,6,455 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
4,"870,000",Apartment,5,3,170 Sq. M.,"Al Naim, North Jeddah, Jeddah"
4,"698,077",Residential Land,N/A,N/A,395 Sq. M.,"Al Umrah, Makkah"
4,"720,000",Apartment,4,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"560,000",Apartment,6,4,179 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
4,"770,000",Apartment,5,4,178 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
4,"590,000",Apartment,3,3,106 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"380,000",Residential Land,N/A,N/A,250 Sq. M.,"Al Sheraa, Al Khobar"
4,"1,200,000",Apartment,5,4,177 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"5,000,000",Villa,7,4,315 Sq. M.,"Al Shati, North Jeddah, Jeddah"
4,"450,000",Apartment,2,2,102 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
4,"1,620,000",Residential Land,N/A,N/A,600 Sq. M.,"Al Ajwad, North Jeddah, Jeddah"
4,"480,000",Apartment,4,3,123 Sq. M.,"Abruq Al Rughamah, North Jeddah, Jeddah"
4,"1,052,421",Residential Land,N/A,N/A,487 Sq. M.,Riyadh
4,"1,850,000",Villa,6,7,300 Sq. M.,"Al Arid, North Riyadh, Riyadh"
5,"600,000",Land,N/A,N/A,600 Sq. M.,"Shaeb Amir Al Jadid, Makkah"
5,"3,800,000",Villa,5,4,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
5,"980,000",Apartment,4,3,251 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
5,"605,000",Apartment,3,3,167 Sq. M.,"Okaz, South Riyadh, Riyadh"
5,"545,000",Apartment,3,3,119 Sq. M.,"Okaz, South Riyadh, Riyadh"
5,"1,200,000",Villa,10,5,401 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
5,"740,000",Apartment,5,4,156 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
5,"3,900,000",Villa,6,5,312 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
5,"499,000",Apartment,4,4,154 Sq. M.,"Al Sakb, Madina"
5,"2,125,554",Apartment,3,4,246 Sq. M.,"Al Nasim, Makkah"
5,"6,500,000",Villa,7,8,375 Sq. M.,"Al Basateen, North Jeddah, Jeddah"
5,"660,000",Apartment,5,4,192 Sq. M.,"Al Waha, North Jeddah, Jeddah"
5,"1,025,000",Apartment,3,3,123 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
5,"720,000",Apartment,5,3,165 Sq. M.,"Al Faisaliyah, Central Jeddah, Jeddah"
5,"3,900,600",Residential Land,N/A,N/A,900 Sq. M.,"Al Manar, North Jeddah, Jeddah"
5,"1,860,102",Land,N/A,N/A,722 Sq. M.,"Al Thaghr, South Jeddah, Jeddah"
5,"2,600,000",Villa,4,3,300 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
5,"3,000,000",Villa,7,4,300 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
5,"1,550,000",Apartment,6,5,235 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
5,"520,000",Apartment,4,3,"2,300 Sq. M.","Al Rehab, North Jeddah, Jeddah"
5,"770,000",Apartment,4,4,630 Sq. M.,"Badr, South Riyadh, Riyadh"
5,"550,000",Apartment,2,3,128 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
5,"520,000",Residential Building,3,3,,"Badr, South Riyadh, Riyadh"
5,"1,250,000",Floor,3,3,550 Sq. M.,"Al Arid, North Riyadh, Riyadh"
5,"1,450,000",Floor,3,3,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"1,266,370",Apartment,3,4,191 Sq. M.,"Al Nasim, Makkah"
6,"1,354,460",Apartment,3,4,188 Sq. M.,"Al Nasim, Makkah"
6,"1,381,506",Apartment,3,4,205 Sq. M.,"Al Nasim, Makkah"
6,"1,375,952",Apartment,3,4,200 Sq. M.,"Al Nasim, Makkah"
6,"1,345,910",Apartment,3,4,198 Sq. M.,"Al Nasim, Makkah"
6,"1,199,224",Apartment,3,4,170 Sq. M.,"Al Nasim, Makkah"
6,"2,422,755",Apartment,3,4,245 Sq. M.,"Al Nasim, Makkah"
6,"1,250,000",Apartment,3,4,175 Sq. M.,"Al Nasim, Makkah"
